# Residuals    
# Time         	Ux             	Uy             	Uz             	p              	epsilon        	k              
1              	1.00000000e+000	1.00000000e+000	1.00000000e+000	1.00000000e+000	9.78992670e-001	1.00000000e+000
2              	5.91200590e-002	5.18228710e-002	1.50549480e-001	8.88072950e-001	7.22979620e-001	4.58639990e-001
3              	5.31186750e-002	1.64982890e-001	2.85565250e-001	5.39440700e-002	3.62693280e-001	2.16895290e-001
4              	4.09531670e-002	1.08428590e-001	1.45811600e-001	5.61290160e-002	1.41465070e-001	1.23503180e-001
5              	3.47333100e-002	3.96769250e-002	1.75276960e-001	3.42355150e-001	5.97596900e-002	8.01658260e-002
6              	3.49455330e-002	3.80727330e-002	1.34613510e-001	1.33766470e-001	2.55382170e-002	6.77987300e-002
7              	2.88122960e-002	3.07582490e-002	9.69332740e-002	2.31624310e-001	1.16413210e-002	6.05859300e-002
8              	2.70230840e-002	3.32932610e-002	8.99531840e-002	8.11103120e-002	6.01488310e-003	5.58637140e-002
9              	2.67336120e-002	2.98117120e-002	8.86379710e-002	7.16869930e-002	3.76584890e-003	5.29945770e-002
10             	2.68811780e-002	2.67417600e-002	8.39814800e-002	7.69979730e-002	2.88615480e-003	5.09693160e-002
11             	2.65341420e-002	2.57363600e-002	7.82521580e-002	6.85145670e-002	2.56170470e-003	4.89366450e-002
12             	2.61840440e-002	2.52943830e-002	7.39673990e-002	5.75292100e-002	2.43396210e-003	4.62696040e-002
13             	2.59278460e-002	2.45582020e-002	7.12580180e-002	5.13636330e-002	2.36958560e-003	4.25762290e-002
14             	2.57449480e-002	2.34962470e-002	6.98287550e-002	5.08364220e-002	2.29552850e-003	3.84020430e-002
15             	2.55849790e-002	2.25030450e-002	6.86202320e-002	5.25384180e-002	2.20442530e-003	3.37304570e-002
16             	2.53620080e-002	2.17176640e-002	6.68240660e-002	5.16233390e-002	2.09216340e-003	2.91385120e-002
17             	2.52165300e-002	2.09154530e-002	6.52154550e-002	5.29400030e-002	1.95038030e-003	2.48709400e-002
18             	2.51003420e-002	2.00910200e-002	6.37806540e-002	5.43762190e-002	1.79358530e-003	2.10928010e-002
19             	2.49334680e-002	1.92085950e-002	6.28354590e-002	5.53169360e-002	1.62016090e-003	1.80359100e-002
20             	2.48040540e-002	1.83029710e-002	6.19544260e-002	5.51355660e-002	1.43689360e-003	1.60206570e-002
21             	2.46577310e-002	1.74547380e-002	6.10497930e-002	5.49931650e-002	1.27074230e-003	1.52956910e-002
22             	2.45825300e-002	1.66236750e-002	6.01486980e-002	5.50101050e-002	1.11872310e-003	1.56183590e-002
23             	2.45528520e-002	1.58197770e-002	5.95317910e-002	5.64003980e-002	1.01571120e-003	1.61898430e-002
24             	2.45502290e-002	1.50604000e-002	5.87054100e-002	5.85707160e-002	9.79606870e-004	1.67188460e-002
25             	2.45458710e-002	1.43367820e-002	5.79248120e-002	5.97378780e-002	1.00382180e-003	1.71406030e-002
26             	2.45699500e-002	1.36440380e-002	5.76043560e-002	6.05508570e-002	1.06031540e-003	1.74223830e-002
27             	2.46514010e-002	1.29926960e-002	5.71828050e-002	6.13788420e-002	1.12855220e-003	1.75812100e-002
28             	2.47610310e-002	1.24333260e-002	5.66626370e-002	6.22877370e-002	1.20898780e-003	1.75964160e-002
29             	2.49215700e-002	1.18928920e-002	5.60078290e-002	6.33792650e-002	1.28617970e-003	1.74881630e-002
30             	2.50842240e-002	1.13667030e-002	5.53597360e-002	6.36055230e-002	1.35825880e-003	1.72820840e-002
31             	2.52400070e-002	1.08902720e-002	5.46811020e-002	6.44191740e-002	1.41434230e-003	1.69809720e-002
32             	2.53963720e-002	1.04496480e-002	5.40533350e-002	6.58442510e-002	1.46386800e-003	1.66161360e-002
33             	2.55798440e-002	1.00307510e-002	5.34886520e-002	6.68121850e-002	1.50117680e-003	1.61927150e-002
34             	2.58324250e-002	9.65440070e-003	5.28347360e-002	6.66200070e-002	1.52786730e-003	1.57388820e-002
35             	2.60820760e-002	9.30103880e-003	5.21448320e-002	6.65840670e-002	1.53724020e-003	1.52516820e-002
36             	2.62988770e-002	8.94242490e-003	5.14541640e-002	6.59922070e-002	1.53055160e-003	1.47802910e-002
37             	2.65196640e-002	8.60957980e-003	5.07203890e-002	6.60348030e-002	1.50599570e-003	1.43516560e-002
38             	2.67434610e-002	8.29492670e-003	5.00009620e-002	6.50288690e-002	1.46651830e-003	1.39616750e-002
39             	2.69335210e-002	7.99820760e-003	4.92929310e-002	6.41349830e-002	1.41819130e-003	1.36068640e-002
40             	2.71364920e-002	7.71295900e-003	4.85395630e-002	6.30437060e-002	1.36402420e-003	1.32628820e-002
41             	2.72695930e-002	7.43913100e-003	4.78087530e-002	6.24470470e-002	1.30623850e-003	1.29402540e-002
42             	2.74374460e-002	7.17943430e-003	4.68726950e-002	6.11676870e-002	1.25057550e-003	1.26403760e-002
43             	2.76043680e-002	6.93241320e-003	4.60578420e-002	6.01259230e-002	1.19581760e-003	1.23704180e-002
44             	2.77200220e-002	6.68615390e-003	4.55549990e-002	5.93015620e-002	1.15027710e-003	1.21105380e-002
45             	2.78006750e-002	6.46135820e-003	4.48370470e-002	5.78269400e-002	1.10708720e-003	1.18803610e-002
46             	2.78422620e-002	6.26559760e-003	4.40007590e-002	5.59464650e-002	1.06430080e-003	1.16759470e-002
47             	2.79075440e-002	6.08678850e-003	4.33391230e-002	5.48012720e-002	1.02323940e-003	1.14738040e-002
48             	2.79637540e-002	5.90153600e-003	4.30543920e-002	5.31601940e-002	9.83119910e-004	1.12905480e-002
49             	2.79611440e-002	5.72258090e-003	4.28042800e-002	5.15946760e-002	9.45607290e-004	1.11286080e-002
50             	2.79442690e-002	5.56348690e-003	4.22490860e-002	4.98772980e-002	9.13207660e-004	1.09834940e-002
51             	2.78215990e-002	5.40254400e-003	4.18043640e-002	4.84129470e-002	8.84855360e-004	1.08457290e-002
52             	2.75835190e-002	5.25316210e-003	4.14797100e-002	4.74080490e-002	8.60312700e-004	1.07194830e-002
53             	2.73837710e-002	5.12632690e-003	4.13093540e-002	4.64893190e-002	8.38365640e-004	1.06201000e-002
54             	2.71377800e-002	5.00764570e-003	4.10451840e-002	4.52371020e-002	8.18387490e-004	1.05168960e-002
55             	2.68260550e-002	4.88898770e-003	4.05640100e-002	4.43119420e-002	7.98216240e-004	1.04265900e-002
56             	2.64117620e-002	4.76974030e-003	4.01876990e-002	4.30771110e-002	7.78768810e-004	1.03511150e-002
57             	2.59616010e-002	4.66731960e-003	3.97097500e-002	4.14768330e-002	7.60992250e-004	1.02733510e-002
58             	2.54514170e-002	4.57561780e-003	3.89513370e-002	3.97802250e-002	7.45367570e-004	1.02111750e-002
59             	2.49397270e-002	4.48498610e-003	3.80707430e-002	3.84247060e-002	7.30679420e-004	1.01563650e-002
60             	2.44049030e-002	4.39014480e-003	3.72599510e-002	3.70313780e-002	7.17807810e-004	1.00878040e-002
61             	2.38410770e-002	4.29654670e-003	3.65993780e-002	3.57933210e-002	7.05348770e-004	1.00357850e-002
62             	2.31594720e-002	4.21298150e-003	3.58051020e-002	3.45330060e-002	6.94362590e-004	9.97283320e-003
63             	2.24862560e-002	4.13482310e-003	3.49940720e-002	3.32849050e-002	6.82752880e-004	9.92914460e-003
64             	2.18827570e-002	4.05906580e-003	3.42512640e-002	3.26689650e-002	6.72655330e-004	9.87077540e-003
65             	2.12627460e-002	3.97121000e-003	3.36082810e-002	3.18987540e-002	6.63094060e-004	9.82161170e-003
66             	2.06576470e-002	3.89248960e-003	3.28460570e-002	3.06250360e-002	6.54450790e-004	9.76667100e-003
67             	2.01125060e-002	3.81929040e-003	3.21991590e-002	2.92909950e-002	6.44818470e-004	9.71872780e-003
68             	1.96329070e-002	3.74290220e-003	3.15872750e-002	2.85787480e-002	6.36502680e-004	9.67059830e-003
69             	1.91204100e-002	3.66287240e-003	3.11064770e-002	2.79203250e-002	6.27922070e-004	9.61739410e-003
70             	1.86578840e-002	3.58796980e-003	3.06318020e-002	2.70039770e-002	6.20019950e-004	9.56924800e-003
71             	1.82457540e-002	3.51539940e-003	3.00999460e-002	2.59121470e-002	6.11496700e-004	9.51672930e-003
72             	1.78808740e-002	3.44914270e-003	2.95863250e-002	2.49777770e-002	6.02294180e-004	9.46683940e-003
73             	1.74664130e-002	3.38311930e-003	2.91803360e-002	2.43026550e-002	5.92424110e-004	9.41103800e-003
74             	1.70978590e-002	3.31275630e-003	2.87443500e-002	2.39862950e-002	5.82609770e-004	9.36533170e-003
75             	1.67628380e-002	3.24891350e-003	2.81794130e-002	2.34533480e-002	5.71477440e-004	9.30835600e-003
76             	1.64199170e-002	3.19213160e-003	2.75652910e-002	2.29456670e-002	5.61042980e-004	9.25118030e-003
77             	1.61077130e-002	3.13004870e-003	2.70164400e-002	2.26381770e-002	5.49471660e-004	9.19196290e-003
78             	1.57655670e-002	3.06601240e-003	2.64038810e-002	2.25676990e-002	5.38355930e-004	9.12819000e-003
79             	1.54150710e-002	3.00233320e-003	2.57632740e-002	2.20806000e-002	5.27114430e-004	9.06316750e-003
80             	1.50483550e-002	2.93554960e-003	2.51065520e-002	2.17212630e-002	5.16931640e-004	8.99046270e-003
81             	1.46753140e-002	2.87258770e-003	2.43976440e-002	2.14361410e-002	5.06883150e-004	8.90804210e-003
82             	1.42985560e-002	2.81038840e-003	2.37301250e-002	2.10472060e-002	4.96462500e-004	8.83009570e-003
83             	1.39223410e-002	2.74422390e-003	2.31443580e-002	2.10047080e-002	4.86748190e-004	8.74875370e-003
84             	1.35505570e-002	2.67694530e-003	2.26312070e-002	2.08835710e-002	4.77645790e-004	8.66358800e-003
85             	1.31914160e-002	2.60951220e-003	2.21047680e-002	2.06958400e-002	4.69434730e-004	8.58276480e-003
86             	1.28532040e-002	2.54013080e-003	2.16686520e-002	2.05130800e-002	4.61802920e-004	8.48747920e-003
87             	1.25569010e-002	2.46958080e-003	2.12992190e-002	2.02305550e-002	4.54578040e-004	8.38952630e-003
88             	1.23014940e-002	2.39920430e-003	2.09792780e-002	1.99115980e-002	4.48813440e-004	8.29251190e-003
89             	1.20723010e-002	2.33280150e-003	2.07200840e-002	1.96279520e-002	4.44540040e-004	8.19408270e-003
90             	1.18835840e-002	2.26712180e-003	2.04720960e-002	1.93077120e-002	4.41771580e-004	8.09271430e-003
91             	1.17350270e-002	2.20342140e-003	2.03650100e-002	1.91782710e-002	4.39972090e-004	7.99228440e-003
92             	1.16110970e-002	2.14166170e-003	2.02563480e-002	1.90815490e-002	4.39184460e-004	7.88773580e-003
